ABAD| abad. m y f. El que dirige una abadía o monasterio.
AFECTO| afecto. m. Pasión del ánimo como cariño, amor. También odio e ira. afecto  afecto, ta. adj. Inclinado a una persona o cosa.  Posesiones o rentas sujetas a alguna carga u obligación. Persona destinada a prestar servicios en una dependencia.
AFEITAR| afeitar. tr. Quitarse la barba. Adornar.
AFERRAR| aferrar. tr. Agarrar fuertemente. afianzar  afianzar tr. Dar fianza por alguno, para seguridad o cumplimiento de una obligación. Afirmar con clavos, cuerdas. Apoyar. Asir. aficionado  aficionado, da. p.p.de aficionar. Que cultiva algún arte sin tenerlo por oficio. Persona que practica un deporte sin remuneración. Que gusta y asiste con frecuencia a un espectáculo.
AFICIÓN| afición. f. Inclinación a una persona o cosa.
AFIJO| afijo.  Elemento que se añade a una palabra para modificar su significado.
AFILAR| afilar. tr. Sacar filo, hacer más delgado y agudo.
AFÍN| afín. adj. Próximo, contiguo. Que tiene afinidad con otra cosa.   Parientes por afinidad.
AFINAR| afinar. tr. perfeccionar.  Hacer cortés a una persona.  Purificar los metales. Poner en tono los instrumentos y la voz.  Hacer el encuadernador que la cubierta de un libro sobresalga igual en todas partes.
AFIRMAR| afirmar. tr. Poner firme.  Asegurar o dar por cierta alguna cosa. Sostener una declaración. afirmativo  afirmativo, va. adj. Que afirma; que da por cierta una cosa. aflautado  aflautado, da. adj. De sonido semejante al de la flauta.
AFLOJAR| aflojar. tr. Disminuir la presión o tirantez.  Ceder. Dejar de emplear el mismo vigor o aplicación.
AFLORAR| aflorar. intr. Asomar a la superficie un filón de mineral. tr. Cernir la harina para obtener lo mejor.
AFONÍA| afonía. f. Falta de voz. afónico  afónico, ca. adj. Falto de voz o sonido.
AFRECHO| afrecho. m. Salvado, cáscara del grano desmenuzada por la molienda.
AFRENTA| afrenta. f. Insulto que causa deshonra.  Peligro, apuro que puede ocasionar vergüenza o deshonra.
AFTA| afta. f. Úlcera pequeña, blanquecina, que se forma por ciertas enfermedades de la mucosa de la boca o de otras partes el tubo digestivo o en la mucosa genital.
